Date,Open,High,Low,Volume,Close
7/10/2023, 427 , 428 , 416 ,35390810, 422 
7/7/2023, 423 , 432 , 422 ,35588150, 425 
7/6/2023, 418 , 422 , 413 ,30413880, 421 
7/5/2023, 421 , 432 , 421 ,32361760, 423 
7/3/2023, 425 , 429 , 422 ,19775410, 424 
6/30/2023, 417 , 426 , 415 ,50114780, 423 
6/29/2023, 416 , 416 , 406 ,38051430, 408 
6/28/2023, 407 , 418 , 405 ,58263930, 411 
6/27/2023, 408 , 419 , 404 ,46217470, 419 
6/26/2023, 425 , 428 , 401 ,59432190, 406 
6/23/2023, 425 , 428 , 420 ,35813980, 422 
6/22/2023, 423 , 434 , 422 ,41773740, 430 
6/21/2023, 435 , 436 , 421 ,55160290, 430 
6/20/2023, 430 , 440 , 427 ,45115310, 438 
6/16/2023, 435 , 437 , 427 ,65570940, 427 
6/15/2023, 426 , 433 , 421 ,56862200, 427 
6/14/2023, 408 , 430 , 406 ,74046500, 430 
6/13/2023, 402 , 411 , 397 ,61320820, 410 
6/12/2023, 392 , 395 , 386 ,38967340, 395 
6/9/2023, 390 , 397 , 386 ,42771750, 388 
6/8/2023, 377 , 389 , 375 ,41777240, 385 
6/7/2023, 389 , 395 , 374 ,51199790, 375 
6/6/2023, 388 , 392 , 381 ,38872910, 387 
6/5/2023, 389 , 396 , 387 ,39609380, 392 
6/2/2023, 401 , 405 , 391 ,48273120, 393 
6/1/2023, 385 , 401 , 383 ,63587300, 398 
5/31/2023, 395 , 403 , 378 ,100258000, 378 
5/30/2023, 406 , 419 , 399 ,92340110, 401 
5/26/2023, 379 , 392 , 376 ,71439680, 389 
5/25/2023, 385 , 395 , 366 ,154391100, 380 
5/24/2023, 302 , 306 , 298 ,72141850, 305 
5/23/2023, 310 , 313 , 306 ,35625330, 307 
5/22/2023, 309 , 315 , 307 ,37199970, 312 
5/19/2023, 315 , 316 , 309 ,47390770, 313 
5/18/2023, 304 , 318 , 303 ,74872500, 317 
5/17/2023, 296 , 302 , 294 ,43253540, 302 
5/16/2023, 288 , 299 , 288 ,44940490, 292 
5/15/2023, 285 , 290 , 282 ,29392590, 290 
5/12/2023, 285 , 288 , 280 ,27422230, 283 
5/11/2023, 289 , 290 , 282 ,32214900, 286 
5/10/2023, 290 , 291 , 285 ,36935000, 289 
5/9/2023, 289 , 290 , 285 ,31486950, 286 
5/8/2023, 285 , 292 , 284 ,34497890, 292 
5/5/2023, 278 , 288 , 277 ,36149410, 287 
5/4/2023, 277 , 279 , 272 ,32185040, 276 
5/3/2023, 278 , 284 , 275 ,38338740, 278 
5/2/2023, 287 , 288 , 281 ,40272960, 282 
5/1/2023, 278 , 291 , 278 ,57032850, 289 
4/28/2023, 272 , 278 , 271 ,29221610, 277 
4/27/2023, 274 , 275 , 266 ,37716120, 272 
4/26/2023, 270 , 273 , 267 ,40633680, 270 
4/25/2023, 271 , 272 , 262 ,37852720, 262 
4/24/2023, 270 , 274 , 267 ,33928190, 270 
4/21/2023, 270 , 272 , 267 ,34510280, 271 
4/20/2023, 277 , 280 , 270 ,42771330, 271 
4/19/2023, 274 , 280 , 272 ,35866040, 279 
4/18/2023, 275 , 281 , 274 ,60481150, 277 
4/17/2023, 266 , 270 , 264 ,32147130, 270 
4/14/2023, 265 , 269 , 262 ,39566010, 268 
4/13/2023, 267 , 269 , 263 ,35361530, 265 
4/12/2023, 274 , 275 , 264 ,44625900, 265 
4/11/2023, 277 , 278 , 271 ,31437820, 272 
4/10/2023, 268 , 276 , 267 ,39527860, 276 
4/6/2023, 266 , 271 , 264 ,39765430, 270 
4/5/2023, 268 , 270 , 264 ,51501470, 269 
4/4/2023, 280 , 280 , 273 ,36859150, 275 
4/3/2023, 275 , 280 , 273 ,39871560, 280 
3/31/2023, 271 , 278 , 271 ,43393280, 278 
3/30/2023, 272 , 275 , 271 ,36451570, 274 
3/29/2023, 268 , 271 , 266 ,39369390, 270 
3/28/2023, 264 , 265 , 259 ,35610380, 264 
3/27/2023, 268 , 270 , 264 ,36102570, 265 
3/24/2023, 270 , 272 , 264 ,45541410, 268 
3/23/2023, 271 , 275 , 267 ,56488880, 272 
3/22/2023, 264 , 276 , 262 ,79729510, 265 
3/21/2023, 262 , 264 , 254 ,54740780, 262 
3/20/2023, 256 , 260 , 251 ,43274720, 259 
3/17/2023, 260 , 264 , 257 ,84854660, 257 
3/16/2023, 240 , 256 , 239 ,58494630, 255 
3/15/2023, 238 , 243 , 234 ,52448570, 242 
3/14/2023, 235 , 242 , 235 ,47491010, 241 
3/13/2023, 228 , 233 , 223 ,42189030, 230 
3/10/2023, 234 , 236 , 227 ,47486570, 230 
3/9/2023, 242 , 245 , 234 ,50125700, 234 
3/8/2023, 235 , 242 , 234 ,51357340, 242 
3/7/2023, 236 , 241 , 232 ,51515390, 233 
3/6/2023, 239 , 242 , 235 ,43742920, 236 
3/3/2023, 233 , 239 , 231 ,41239330, 239 
3/2/2023, 225 , 234 , 224 ,39007470, 233 
3/1/2023, 232 , 233 , 225 ,46002560, 227 
2/28/2023, 234 , 238 , 232 ,45596280, 232 
2/27/2023, 237 , 239 , 235 ,45299370, 235 
2/24/2023, 232 , 235 , 229 ,58971590, 233 
2/23/2023, 234 , 239 , 230 ,111799500, 237 
2/22/2023, 207 , 211 , 204 ,51318430, 208 
2/21/2023, 210 , 215 , 206 ,41001460, 207 
2/17/2023, 216 , 217 , 210 ,46588760, 214 
2/16/2023, 221 , 226 , 219 ,41202630, 220 
2/15/2023, 225 , 229 , 221 ,42118830, 228 
2/14/2023, 216 , 230 , 214 ,67547350, 230 
2/13/2023, 215 , 220 , 210 ,47491860, 218 
2/10/2023, 217 , 221 , 208 ,55073680, 213 
2/9/2023, 226 , 230 , 221 ,52387580, 223 
2/8/2023, 224 , 229 , 220 ,55965120, 222 
2/7/2023, 214 , 223 , 212 ,66414960, 222 
2/6/2023, 208 , 216 , 208 ,45219710, 211 
2/3/2023, 210 , 217 , 208 ,42936600, 211 
2/2/2023, 210 , 219 , 207 ,56427580, 217 
2/1/2023, 197 , 212 , 196 ,66047700, 209 
1/31/2023, 192 , 197 , 190 ,49801660, 195 
1/30/2023, 200 , 201 , 192 ,48861120, 192 
1/27/2023, 195 , 206 , 194 ,54214200, 204 
1/26/2023, 197 , 202 , 193 ,48953540, 198 
1/25/2023, 189 , 194 , 186 ,44953710, 193 
1/24/2023, 188 , 195 , 188 ,49620410, 193 
1/23/2023, 181 , 192 , 178 ,65516260, 192 
1/20/2023, 170 , 179 , 168 ,56496710, 178 
1/19/2023, 170 , 172 , 167 ,45293160, 168 
1/18/2023, 177 , 179 , 173 ,43962360, 174 
1/17/2023, 169 , 177 , 169 ,51110220, 177 
1/13/2023, 163 , 169 , 162 ,44728710, 169 
1/12/2023, 161 , 166 , 155 ,55140910, 165 
1/11/2023, 158 , 160 , 156 ,35328490, 160 
1/10/2023, 155 , 160 , 155 ,38410130, 159 
1/9/2023, 153 , 161 , 151 ,50423060, 156 
1/6/2023, 145 , 150 , 140 ,40504360, 149 
1/5/2023, 145 , 146 , 141 ,38916810, 143 
1/4/2023, 146 , 149 , 142 ,43132360, 147 
1/3/2023, 149 , 150 , 141 ,40127660, 143 
12/30/2022, 143 , 146 , 142 ,31048980, 146 
12/29/2022, 144 , 147 , 142 ,35492320, 146 
12/28/2022, 139 , 143 , 139 ,35106650, 140 
12/27/2022, 151 , 151 , 141 ,46490230, 141 
12/23/2022, 152 , 153 , 149 ,34932560, 152 
12/22/2022, 161 , 161 , 149 ,56504530, 153 
12/21/2022, 161 , 166 , 161 ,32502540, 165 
12/20/2022, 161 , 163 , 159 ,40325980, 161 
12/19/2022, 166 , 166 , 161 ,35403880, 163 
12/16/2022, 169 , 170 , 164 ,47823190, 166 
12/15/2022, 171 , 173 , 167 ,47854210, 170 
12/14/2022, 180 , 183 , 174 ,49688810, 177 
12/13/2022, 185 , 188 , 177 ,65658880, 181 
12/12/2022, 170 , 175 , 168 ,45732780, 175 
12/9/2022, 172 , 176 , 170 ,46533820, 170 
12/8/2022, 163 , 172 , 160 ,51545550, 172 
12/7/2022, 158 , 162 , 157 ,37238760, 161 
12/6/2022, 165 , 166 , 158 ,35269430, 160 
12/5/2022, 167 , 170 , 165 ,35225520, 166 
12/2/2022, 167 , 169 , 164 ,37138860, 169 
12/1/2022, 170 , 173 , 166 ,47097660, 171 
11/30/2022, 157 , 169 , 156 ,56529820, 169 
11/29/2022, 158 , 159 , 155 ,29838450, 156 
11/28/2022, 160 , 164 , 157 ,30415200, 158 
11/25/2022, 163 , 165 , 162 ,16793430, 163 
11/23/2022, 161 , 165 , 160 ,42724090, 165 
11/22/2022, 153 , 161 , 151 ,47286610, 160 
11/21/2022, 151 , 155 , 151 ,40473930, 153 
11/18/2022, 160 , 160 , 151 ,49207170, 154 
11/17/2022, 157 , 163 , 155 ,71089360, 157 
11/16/2022, 162 , 164 , 159 ,64954680, 159 
11/15/2022, 167 , 170 , 164 ,54587550, 167 
11/14/2022, 162 , 165 , 159 ,52785250, 163 
11/11/2022, 158 , 164 , 155 ,65548750, 163 
11/10/2022, 148 , 158 , 145 ,70081930, 158 
11/9/2022, 142 , 142 , 138 ,45441370, 138 
11/8/2022, 148 , 149 , 142 ,59529200, 146 
11/7/2022, 142 , 144 , 140 ,41006100, 143 
11/4/2022, 140 , 142 , 137 ,61257590, 142 
11/3/2022, 130 , 138 , 130 ,50006490, 134 
11/2/2022, 139 , 142 , 132 ,67262780, 132 
11/1/2022, 138 , 139 , 135 ,43281690, 135 
